date|time|description|vendor|amount
2024-10-02|08:15|Coffee|Starbucks|-4.75
2024-10-04|09:00|Paycheck Deposit|Direct Deposit|2850.00
2024-10-07|12:30|Lunch|Chipotle|-12.45
2024-10-09|18:45|Grocery Shopping|Kroger|-87.32
2024-10-12|07:45|Gas|Shell|-48.50
2024-10-15|08:00|Electric Bill|Duke Energy|-142.30
2024-10-18|09:00|Paycheck Deposit|Direct Deposit|2850.00
2024-10-21|14:30|Pharmacy|CVS|-23.67
2024-10-24|19:15|Dinner|Olive Garden|-56.80
2024-10-28|13:45|Grocery Shopping|Kroger|-94.21
2024-10-31|16:20|Target Run|Target|-67.45
2024-11-01|09:00|Rent Payment|Property Management|-1450.00
2024-11-01|09:00|Paycheck Deposit|Direct Deposit|2850.00
2024-11-05|07:30|Gas|Shell|-51.25
2024-11-08|12:00|Lunch|Panera Bread|-11.30
2024-11-11|11:15|Coffee|Starbucks|-4.75
2024-11-13|18:00|Grocery Shopping|Kroger|-102.15
2024-11-15|08:00|Internet Bill|Spectrum|-79.99
2024-11-15|09:00|Paycheck Deposit|Direct Deposit|2850.00
2024-11-18|08:30|Coffee|Starbucks|-4.75
2024-11-22|07:50|Gas|BP|-49.80
2024-11-25|12:15|Lunch|Chipotle|-13.20
2024-11-27|19:00|Grocery Shopping|Kroger|-89.67
2024-11-29|09:00|Paycheck Deposit|Direct Deposit|2850.00
2024-12-01|09:00|Rent Payment|Property Management|-1450.00
2024-12-03|15:30|Haircut|Great Clips|-22.00
2024-12-06|18:30|Dinner|Red Lobster|-78.45
2024-12-10|08:00|Electric Bill|Duke Energy|-138.75
2024-12-13|09:00|Paycheck Deposit|Direct Deposit|2850.00
2024-12-15|13:00|Phone Bill|Verizon|-85.42
2024-12-18|07:45|Gas|Shell|-52.30
2024-12-20|12:30|Lunch|Panera Bread|-12.15
2024-12-23|18:15|Grocery Shopping|Kroger|-95.43
2024-12-27|09:00|Paycheck Deposit|Direct Deposit|2850.00
2024-12-28|14:00|Zelle from Sarah|Zelle|45.00
2024-12-30|10:00|Target Run|Target|-73.20
2025-01-02|09:00|Rent Payment|Property Management|-1450.00
2025-01-03|07:55|Gas|BP|-47.65
2025-01-10|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-01-12|12:00|Lunch|Chipotle|-12.90
2025-01-15|14:00|Car Insurance|State Farm|-156.00
2025-01-17|18:30|Grocery Shopping|Kroger|-103.28
2025-01-20|08:00|Electric Bill|Duke Energy|-125.40
2025-01-24|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-01-27|07:40|Gas|Shell|-50.15
2025-01-30|19:00|Dinner|Applebees|-42.30
2025-02-01|09:00|Rent Payment|Property Management|-1450.00
2025-02-05|12:15|Lunch|Panera Bread|-11.85
2025-02-07|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-02-10|18:00|Grocery Shopping|Kroger|-91.74
2025-02-14|08:10|Coffee|Starbucks|-4.75
2025-02-17|07:50|Gas|Shell|-53.20
2025-02-21|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-02-24|12:30|Lunch|Chipotle|-13.45
2025-02-27|18:45|Grocery Shopping|Kroger|-88.92
2025-03-01|09:00|Rent Payment|Property Management|-1450.00
2025-03-03|08:00|Electric Bill|Duke Energy|-118.65
2025-03-07|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-03-11|07:35|Gas|BP|-48.90
2025-03-14|12:00|Lunch|Panera Bread|-12.40
2025-03-18|16:30|Oil Change|Jiffy Lube|-45.99
2025-03-21|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-03-24|18:15|Grocery Shopping|Kroger|-97.38
2025-03-28|16:30|Zelle from Mike|Zelle|60.00
2025-04-01|09:00|Rent Payment|Property Management|-1450.00
2025-04-04|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-04-08|08:25|Coffee|Starbucks|-4.75
2025-04-11|07:45|Gas|Shell|-54.75
2025-04-15|12:15|Lunch|Chipotle|-12.85
2025-04-18|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-04-22|18:20|Grocery Shopping|Kroger|-105.67
2025-04-25|08:00|Electric Bill|Duke Energy|-134.20
2025-05-02|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-05-06|07:50|Gas|BP|-52.40
2025-05-09|18:00|Grocery Shopping|Kroger|-92.15
2025-05-12|15:30|Haircut|Great Clips|-22.00
2025-05-16|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-05-20|19:15|Dinner|Olive Garden|-58.90
2025-05-23|07:40|Gas|Shell|-56.30
2025-05-27|18:30|Grocery Shopping|Kroger|-99.84
2025-05-30|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-06-01|09:00|Rent Payment|Property Management|-1450.00
2025-06-05|08:00|Electric Bill|Duke Energy|-158.90
2025-06-09|12:30|Lunch|Chipotle|-13.20
2025-06-13|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-06-17|07:45|Gas|BP|-55.20
2025-06-20|18:45|Grocery Shopping|Kroger|-96.50
2025-06-24|14:00|Pharmacy|CVS|-28.40
2025-06-27|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-07-01|09:00|Rent Payment|Property Management|-1450.00
2025-07-05|08:15|Coffee|Starbucks|-4.75
2025-07-08|07:55|Gas|Shell|-57.80
2025-07-11|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-07-15|12:00|Lunch|Panera Bread|-11.50
2025-07-18|18:00|Grocery Shopping|Kroger|-108.23
2025-07-21|08:00|Electric Bill|Duke Energy|-172.45
2025-07-25|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-07-29|07:50|Gas|BP|-56.90
2025-08-01|09:00|Rent Payment|Property Management|-1450.00
2025-08-05|15:30|Target Run|Target|-89.67
2025-08-08|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-08-12|18:30|Grocery Shopping|Kroger|-101.58
2025-08-15|19:15|Dinner|Red Lobster|-71.30
2025-08-19|08:10|Coffee|Starbucks|-4.75
2025-08-22|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-08-26|07:40|Gas|Shell|-58.45
2025-08-29|12:15|Lunch|Chipotle|-13.75
2025-09-01|09:00|Rent Payment|Property Management|-1450.00
2025-09-05|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-09-08|14:30|Haircut|Great Clips|-22.00
2025-09-12|18:20|Grocery Shopping|Kroger|-94.36
2025-09-15|08:00|Electric Bill|Duke Energy|-165.80
2025-09-19|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-09-22|13:00|Phone Bill|Verizon|-85.42
2025-09-25|07:45|Gas|BP|-57.25
2025-09-28|12:30|Lunch|Panera Bread|-12.85
2025-10-01|09:00|Rent Payment|Property Management|-1450.00
2025-10-03|09:00|Paycheck Deposit|Direct Deposit|2850.00
2025-10-06|10:15|Doctor Visit Copay|Primary Care|-35.00
2025-10-09|18:00|Grocery Shopping|Kroger|-97.89
2025-10-13|16:30|Pharmacy|CVS|-42.15
2025-10-15|08:25|Coffee|Starbucks|-4.75
2024-12-14|10:00:00|Freelance - Upwork|Upwork - George|250.00
2025-10-16|02:08:00|Groceries|Food Lion|-234.56
2025-10-16|01:02:43|groceries|aldis|-100.55
2025-08-07|00:00:00|Cash- birthday|brother Phil|300.00
2025-10-16|12:00:00|gas|Bp|-50.00
2025-10-16|00:00:00|Zelle - George|Zelle|35.00
2025-10-15|01:00:00|gas|BP|-53.54
2024-12-11|00:00:00|groceries|Aldis|100.00
2025-10-01|12:00:00|Bonus|direct deposit|1000.00
2025-10-01|03:00:00|Monitor|The grid|-50.00
2022-12-22      | 12:22:22     | coffee                    | shewit               |     400.00 |
2022-12-22      | 12:22:22     | coffee2                   | shewit2              |     300.00 |
2022-12-22      | 12:22:22     | coffee drinks             | shewit3              |     300.00 |
2022-12-22      | 03:22:22     | waters                    | jacob                |     100.00 |
2022-12-22      | 12:22:22     | candy                     | shewit store         |     -30.00 |
2022-12-12      | 12:22:22     | phone                     | apple                |     300.00 |
2022-12-12      | 12:22:22     | phone2                    | apple                |     300.00 |
2022-12-12      | 12:22:22     | coffeee                   | shewit6              |     300.00 |
2022-12-12      | 12:22:22     | coffeeeee                 | shewit cold          |     300.00 |
2025-12-20      | 12:22:22     | sneakers                  | nike                 |      30.00 |
2025-12-12      | 12:22:22     | iophone                   | apple store          |   10000.00 |
2025-12-23      | 12:22:22     | chocolate                 | dark store           |    -200.00 |